,n,l,i,epi,smt,para
438,0.9597146335714525,0.29506870428468085,0.8466918763368461,4,5.000000000000002,5.0
439,0.9599175067098232,0.29503841333590025,0.8466852886756794,4,5.100000000000001,5.1
440,0.9601125312119062,0.2950093425041202,0.8466789663649795,4,5.200000000000002,5.2
441,0.9603001532630695,0.2949814197078589,0.8466728937284985,4,5.3000000000000025,5.3
442,0.9604807858964682,0.2949545784219603,0.8466670562983789,4,5.400000000000002,5.4
443,0.9606548120130532,0.2949287571532804,0.8466614407011216,4,5.500000000000002,5.5
444,0.9608225870775958,0.2949038989745812,0.8466560345562145,4,5.600000000000002,5.6
445,0.9609844415305503,0.2948799511092009,0.846650826385816,4,5.700000000000003,5.7
446,0.9611406829501074,0.29485686456017346,0.8466458055340897,4,5.8000000000000025,5.8
447,0.9612915979940406,0.2948345937783923,0.8466409620950363,4,5.900000000000002,5.9
448,0.9614374541470916,0.2948130963650187,0.8466362868477789,4,6.000000000000003,6.0
449,0.9615785012962416,0.29479233280423817,0.8466317711984331,4,6.100000000000003,6.1
450,0.9538769695264976,0.2959623544346378,0.8468862269473707,5,3.2,3.2
451,0.9543694963706484,0.2958853048184613,0.8468694702334101,5,3.3000000000000003,3.3
452,0.9548328842933204,0.2958130926111123,0.8468537655568251,5,3.4000000000000004,3.4
453,0.9552696389078504,0.29574527816634977,0.8468390173035601,5,3.5000000000000004,3.5
454,0.9556819870565908,0.2956814733553818,0.8468251410635488,5,3.6000000000000005,3.6
455,0.9560719144810809,0.29562133425795617,0.8468120620411801,5,3.7000000000000006,3.7
456,0.9564411975504795,0.2955645550603745,0.846799713728235,5,3.8000000000000007,3.8
457,0.956791430112829,0.29551086293461876,0.8467880367902049,5,3.900000000000001,3.9
458,0.9571240463213587,0.295460013719731,0.8467769781270827,5,4.000000000000001,4.0
459,0.9574403401219679,0.2954117882628511,0.8467664900776058,5,4.100000000000001,4.1
460,0.9577414819577701,0.2953659893054525,0.8467565297420847,5,4.200000000000001,4.2
461,0.958028533143182,0.2953224388225569,0.8467470584037302,5,4.300000000000001,4.3
462,0.958302458277993,0.29528097573993334,0.8467380410322006,5,4.400000000000001,4.4
463,0.9585641360060686,0.29524145396823936,0.846729445856046,5,4.500000000000002,4.5
464,0.9588143683704217,0.295203740704,0.846721243993237,5,4.600000000000001,4.6
465,0.9590538889736181,0.29516771495619365,0.8467134091307006,5,4.700000000000001,4.7
466,0.9592833701176414,0.2951332662642845,0.8467059172455321,5,4.800000000000002,4.8
467,0.9595034290689899,0.29510029357935286,0.8466987463616585,5,4.900000000000002,4.9
